AsOfDate,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GLBalance,iHUbBalance,BalanceDifference,MatchStatus
2023-01-23,00005,7211351,2860,ISO-4217,Principal,Deferred Costs,80873,49016,31857,Break
2023-01-12,00004,6100709,5986,EUR,Principal,Deferred Costs,87265,39916,47349,Break
2023-01-27,00003,5429485,3770,AFN,Principal,Deferred Costs,44512,100158,-55646,Break
2023-01-13,00006,4483274,6615,INR,Deferred Costs,Deferred Costs,61259,108147,-46888,Break
2023-01-19,00003,2999023,6056,AFN,Deferred Costs,Deferred Costs,119375,117982,1393,Break
2023-01-19,00006,8330854,1571,USD,Principal,Deferred Costs,51809,115090,-63281,Break
2023-01-06,00001,9889344,4895,ISO-4217,Deferred Costs,Deferred Costs,105332,41550,63782,Break
2023-01-18,00003,5273500,5403,EUR,Deferred Costs,Deferred Costs,48172,74547,-26375,Break
2023-01-22,00006,4360209,3833,INR,Principal,Deferred Costs,39059,61235,-22176,Break
2023-01-15,00004,7988946,2060,USD,Principal,Principal,86149,104765,-18616,Break
2023-01-12,00001,1156719,3005,ALL,Deferred Costs,Deferred Costs,111387,111465,-78,Break
2023-01-07,00006,1238303,3230,EUR,Deferred Costs,Principal,118930,99816,19114,Break
2023-01-09,00005,8651084,3959,USD,Deferred Costs,Principal,85051,109892,-24841,Break
2023-01-09,00003,6142748,5173,AFN,Deferred Costs,Principal,65711,79657,-13946,Break
2023-01-17,00001,4288484,4747,ISO-4217,Deferred Costs,Principal,110066,50561,59505,Break
2023-01-03,00002,7210772,1468,INR,Principal,Deferred Costs,51905,74531,-22626,Break
2023-01-06,00002,2928932,6397,AFN,Deferred Costs,Deferred Costs,72163,37921,34242,Break
2023-01-17,00002,3690265,5941,ISO-4217,Deferred Costs,Deferred Costs,81096,65446,15650,Break
2023-01-28,00003,2420253,4575,EUR,Principal,Deferred Costs,57611,100421,-42810,Break
2023-01-09,00001,4984236,3643,ALL,Deferred Costs,Deferred Costs,115945,81813,34132,Break
2023-01-17,00001,5591302,5420,INR,Deferred Costs,Deferred Costs,106548,117379,-10831,Break
2023-01-13,00006,1512763,5098,AFN,Principal,Principal,114652,90985,23667,Break
2023-01-10,00006,5236403,6862,USD,Principal,Principal,73583,86983,-13400,Break
2023-01-01,00004,3662781,5188,ISO-4217,Principal,Deferred Costs,43142,33651,9491,Break
2023-01-26,00003,7339705,4106,EUR,Principal,Principal,64643,83359,-18716,Break
2023-01-09,00006,7011239,2625,EUR,Deferred Costs,Deferred Costs,114485,47168,67317,Break
2023-01-23,00002,5323467,5914,AFN,Principal,Deferred Costs,42587,62004,-19417,Break
2023-01-22,00003,1386060,2908,INR,Principal,Principal,118734,76291,42443,Break
2023-01-22,00005,1783421,1842,USD,Principal,Principal,103531,92984,10547,Break
2023-01-17,00004,4116632,5536,INR,Deferred Costs,Principal,113291,36090,77201,Break
2023-01-07,00006,2914964,4359,EUR,Deferred Costs,Deferred Costs,70587,49525,21062,Break
2023-01-07,00005,8419169,2512,ISO-4217,Deferred Costs,Deferred Costs,41461,72864,-31403,Break
2023-01-20,00002,1567456,3288,ISO-4217,Principal,Deferred Costs,83171,111678,-28507,Break
2023-01-02,00003,6329779,2919,AFN,Deferred Costs,Deferred Costs,66058,33246,32812,Break
2023-01-09,00004,4682742,3171,ISO-4217,Principal,Principal,84247,65705,18542,Break
2023-01-12,00006,2459472,4087,AFN,Deferred Costs,Deferred Costs,105814,94545,11269,Break
2023-01-16,00001,2612577,1979,ALL,Deferred Costs,Deferred Costs,81227,38417,42810,Break
2023-01-15,00003,2163301,4867,ALL,Principal,Deferred Costs,49759,91375,-41616,Break
2023-01-19,00003,6422688,6850,AFN,Deferred Costs,Deferred Costs,37448,45814,-8366,Break
2023-01-19,00003,5895039,6675,ISO-4217,Deferred Costs,Deferred Costs,112470,87016,25454,Break
2023-01-17,00003,3965028,2055,ISO-4217,Deferred Costs,Deferred Costs,95486,85068,10418,Break
2023-01-29,00001,3748274,4339,EUR,Deferred Costs,Deferred Costs,49370,82431,-33061,Break
2023-01-30,00005,8338289,4611,INR,Deferred Costs,Deferred Costs,66511,41271,25240,Break
2023-01-18,00001,9889060,2338,ALL,Principal,Principal,105798,71714,34084,Break
2023-01-07,00003,5346627,5594,ALL,Principal,Principal,91912,74645,17267,Break
2023-01-01,00004,1478258,4212,USD,Deferred Costs,Deferred Costs,50288,54062,-3774,Break
2023-01-18,00003,6076230,6004,ISO-4217,Deferred Costs,Deferred Costs,69694,104502,-34808,Break
2023-01-10,00005,8152662,6135,AFN,Deferred Costs,Deferred Costs,77171,102049,-24878,Break
2023-01-28,00002,6058423,4706,INR,Deferred Costs,Principal,103751,108473,-4722,Break
2023-01-14,00004,7924429,3218,ALL,Deferred Costs,Deferred Costs,32608,108812,-76204,Break
2023-01-02,00004,7958285,5191,AFN,Deferred Costs,Principal,65417,115318,-49901,Break
2023-01-20,00006,6070496,6056,INR,Deferred Costs,Deferred Costs,107356,38877,68479,Break
2023-01-17,00004,1182821,2410,ALL,Deferred Costs,Deferred Costs,112493,46616,65877,Break
2023-01-07,00004,9482154,1550,EUR,Principal,Principal,119004,43543,75461,Break
2023-01-03,00004,6833996,2577,INR,Principal,Principal,64328,57613,6715,Break
2023-01-15,00003,3356802,4415,EUR,Principal,Principal,76839,95194,-18355,Break
2023-01-02,00005,2212026,6423,EUR,Deferred Costs,Principal,54176,48613,5563,Break
2023-01-10,00005,6361648,4146,INR,Principal,Principal,67807,96463,-28656,Break
2023-01-10,00004,7161715,1182,AFN,Deferred Costs,Principal,108548,115682,-7134,Break
2023-01-02,00001,6114245,4017,ISO-4217,Principal,Principal,103787,45822,57965,Break
2023-01-08,00002,1800068,1826,ALL,Deferred Costs,Deferred Costs,64878,76744,-11866,Break
2023-01-02,00004,3517342,5541,ALL,Principal,Principal,96661,68208,28453,Break
2023-01-30,00002,6742705,1524,ALL,Deferred Costs,Deferred Costs,40418,90724,-50306,Break
2023-01-11,00001,8205052,6573,AFN,Principal,Deferred Costs,106683,48424,58259,Break
2023-01-04,00003,4397950,4075,USD,Deferred Costs,Deferred Costs,108773,107863,910,Break
2023-01-07,00005,6676831,3026,EUR,Deferred Costs,Principal,74138,41256,32882,Break
2023-01-20,00004,2712075,6708,EUR,Deferred Costs,Principal,60610,78967,-18357,Break
2023-01-13,00002,9892546,3945,ALL,Principal,Deferred Costs,97673,52725,44948,Break
2023-01-17,00002,3767938,4238,EUR,Deferred Costs,Deferred Costs,67334,43338,23996,Break
2023-01-22,00002,9286606,5026,ISO-4217,Principal,Deferred Costs,99115,94129,4986,Break
2023-01-25,00003,5422268,3970,EUR,Deferred Costs,Principal,84644,89256,-4612,Break
2023-01-14,00001,6942809,5839,USD,Principal,Deferred Costs,85840,51593,34247,Break
2023-01-25,00006,9147845,5455,INR,Principal,Deferred Costs,41549,56587,-15038,Break
2023-01-08,00003,9599310,1931,EUR,Deferred Costs,Deferred Costs,69952,90095,-20143,Break
2023-01-05,00001,6515747,6682,USD,Principal,Deferred Costs,64035,97274,-33239,Break
2023-01-28,00002,8485823,6831,AFN,Deferred Costs,Deferred Costs,56148,66865,-10717,Break
2023-01-16,00002,1654545,1809,ISO-4217,Deferred Costs,Deferred Costs,116396,77998,38398,Break
2023-01-08,00003,2723076,4033,AFN,Deferred Costs,Deferred Costs,81074,113142,-32068,Break
2023-01-23,00005,5732938,2618,INR,Principal,Principal,110158,58818,51340,Break
2023-01-02,00002,2909456,5647,AFN,Deferred Costs,Principal,114698,112945,1753,Break
2023-01-16,00002,9909814,2671,USD,Principal,Deferred Costs,74381,70109,4272,Break
2023-01-12,00005,5153426,1011,USD,Deferred Costs,Principal,60253,112834,-52581,Break
2023-01-03,00006,1514220,4825,EUR,Deferred Costs,Deferred Costs,115872,99240,16632,Break
2023-01-24,00001,1819506,5725,INR,Deferred Costs,Deferred Costs,69127,85771,-16644,Break
2023-01-14,00004,9000779,4841,USD,Principal,Deferred Costs,75652,88348,-12696,Break
2023-01-22,00002,7438360,4412,ISO-4217,Deferred Costs,Principal,55075,61220,-6145,Break
2023-01-30,00004,4735354,4911,AFN,Deferred Costs,Principal,68280,43495,24785,Break
2023-01-28,00002,3659980,1534,EUR,Deferred Costs,Principal,55492,54408,1084,Break
2023-01-07,00004,9378952,5433,AFN,Deferred Costs,Principal,91219,86328,4891,Break
2023-01-07,00004,3615112,2065,USD,Deferred Costs,Principal,70528,101498,-30970,Break
2023-01-24,00003,5669031,2009,AFN,Deferred Costs,Principal,38049,31083,6966,Break
2023-01-28,00001,8531065,2304,ISO-4217,Principal,Principal,101369,97635,3734,Break
2023-01-08,00006,2572184,6369,ALL,Principal,Principal,46551,87171,-40620,Break
2023-01-27,00002,1780280,4126,EUR,Principal,Principal,90620,30535,60085,Break
2023-01-05,00005,6430818,3055,EUR,Deferred Costs,Deferred Costs,48387,89917,-41530,Break
2023-01-29,00002,2730586,2142,USD,Deferred Costs,Principal,59969,45190,14779,Break
2023-01-20,00002,5330763,1345,INR,Deferred Costs,Deferred Costs,92502,109857,-17355,Break
2023-01-04,00003,3674396,5168,ISO-4217,Deferred Costs,Principal,61734,44011,17723,Break
2023-01-27,00003,4491351,1158,USD,Principal,Deferred Costs,47581,68091,-20510,Break
2023-01-17,00005,9267154,4638,USD,Deferred Costs,Principal,81673,50264,31409,Break
2023-01-16,00005,3504305,6881,ALL,Principal,Principal,90432,38057,52375,Break
2023-01-20,00001,5252241,1033,EUR,Deferred Costs,Principal,115971,30623,85348,Break
2023-01-04,00006,3253808,2267,INR,Deferred Costs,Principal,73272,77216,-3944,Break
2023-01-22,00001,5780759,2784,INR,Principal,Deferred Costs,76541,48629,27912,Break
2023-01-17,00003,1816691,5132,ALL,Principal,Deferred Costs,116814,106098,10716,Break
2023-01-24,00004,6769699,6924,EUR,Deferred Costs,Principal,52043,84927,-32884,Break
2023-01-25,00003,6775324,3640,EUR,Deferred Costs,Deferred Costs,37198,84098,-46900,Break
2023-01-20,00002,9970125,3974,INR,Deferred Costs,Deferred Costs,56961,113429,-56468,Break
2023-01-23,00004,8639629,6294,AFN,Deferred Costs,Principal,60442,105896,-45454,Break
2023-01-01,00006,5492617,4588,INR,Deferred Costs,Principal,56687,111656,-54969,Break
2023-01-25,00005,2518164,3016,ISO-4217,Principal,Principal,97613,37284,60329,Break
2023-01-09,00006,6160657,1075,AFN,Principal,Principal,70265,48332,21933,Break
2023-01-04,00003,8400892,2492,AFN,Deferred Costs,Principal,80724,98953,-18229,Break
2023-01-03,00002,8013462,5758,USD,Principal,Principal,88379,59396,28983,Break
2023-01-29,00004,7271014,3848,EUR,Deferred Costs,Principal,62970,100441,-37471,Break
2023-01-04,00002,4100238,1797,INR,Deferred Costs,Principal,80882,99936,-19054,Break
2023-01-20,00004,5145229,2588,AFN,Principal,Principal,39847,32735,7112,Break
